Metab	21-hydroxylase deficiency	3-methylcrotonyl coA carboxylase deficiency	Arginase deficiency	Arginine:glycine amidinotransferase deficiency	Argininosuccinic aciduria	Aromatic L-amino acid decarboxylase  deficiency	Autosomal dominant hypercarotenemia and vitamin A deficiency	Biotinidase deficiency	Carbamoyl phosphate synthetase I deficiency	Classic galactosemia/type 1	Classic refsum disease	Congenital lactase deficiency/congenital alactasia	Congenital lipoid adrenal hyperplasia (CLAH)/ StAR DEFICIENCY	corticosterone methyloxidase type 1 deficiency (CMO-1 deficiency)/aldosterone deficiency	Crigler-Najjar syndrome type I/Gilbert syndrome/Crigler-Najjar syndrome type II	Cystinuria	Fish-eye disease/ LCAT deficiency	Fructosuria(essential Fructosuria)	Fumarase deficiency	Galactosemia type III	Glucose-6-phosphate dehydrogenase deficiency	Glucose-galactose malabsorption	GLUT1 deficiency syndrome	Glutathione synthetase deficiency and 5-oxoprolinuria	Glycogen storage disease IIIa/Glycogen storage disease IIIb/CORI DISEASE	GM1-gangliosidosis and Mucopolysaccharidosis type IV type B	Guanidinoacetate methyltransferase deficiency	Gyrate atrophy of the choroid and retina	Histidinemia	Homocystinuria	Hyperlysinemia I, familial	Maple syrup urine disease	Medium chain acyl coA dehydrogenase deficiency	Mevalonic aciduria	Mitochondrial neurogastrointestinal encephalopathy (MNGIE) disease	Mucopolysaccharidosis type IV type A/Morquio syndrome	Ornithine transcarbamylase deficiency	Pyruvate carboxylase deficiency	Sarcosinemia	Short chain 3-hydroxy acyl coA dehydrogenase deficiency, Familial hyperinsulinism (FHI)	Smith-Lemli-Opitz syndrome	Systemic carnitine deficiency	Tangier disease	Type I citrullinemia	Tyrosinemia type 1	Tyrosinemia type III	Very long-chain acyl-coenzyme A dehydrogenase (VLCAD) deficiency	Xanthinuria type 1	Zellweger syndrome
2-Oxoglutarate	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	+1	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	+1	00	00	00	00	00	00	00	00	00	00	00
34dhphe	00	00	00	00	00	+1	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
3mlda	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	+1	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
5-oxoproline	00	00	00	00	00	00	00	00	+1	00	00	00	00	00	00	00	00	00	00	00	00	00	00	-1	00	00	00	00	00	00	00	00	00	00	00	00	+1	00	00	00	00	00	00	00	00	00	00	00	00
5htrp	00	00	00	00	00	+1	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
Acetoacetate	00	+1	00	00	00	00	00	+1	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	+1	00	00	00	00	00	00	00	00	00	00	00	00	+1	00	+1	00	00	00	00	00	00	00	00	00
Acetone	00	+1	00	00	00	00	00	+1	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	+1	00	00	00	00	00	00	00	00	00	00	00	00	+1	00	+1	00	00	00	00	00	00	00	00	00
Adrenaline	00	00	00	00	00	-1	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
Aldosterone	+1	00	00	00	00	00	00	00	00	00	00	00	00	-1	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
B-Carotene	00	00	00	00	00	00	+1	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
Bhb	00	+1	00	00	00	00	00	+1	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	+1	00	00	00	00	00	00	00	00	00	00	00	00	+1	00	+1	00	00	00	00	00	00	00	00	00
Bilirubin	00	00	00	00	00	00	00	00	00	+1	00	00	00	00	+1	00	00	00	00	00	+1	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
C101crn	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	+1	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
Carnitine	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	-1	00	00	00	00	00	00	00
Cholesterol	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	-1	00	00	00	00	00	00	00	+1	00	00	00	00	00	00	00	00	-1	00	00	00	00	00	00	-1	00	-1	00	00	00	00	00	00
Citrate	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	+1	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
Corticosterone	00	00	00	00	00	00	00	00	00	00	00	00	-1	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
Cortisol	-1	00	00	00	00	00	00	00	00	00	00	00	-1	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
Creatine	00	00	+1	-1	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	-1	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
D-glucose	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	+1	-1	00	-1	00	00	00	00	00	00	00	00	00	00	00	00	-1	00	-1	00	00	00	00	00	00	-1	00	00
Deoxyuridine	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	+1	00	00	00	00	00	00	00	00	00	00	00	00	00	00
Dopamine	00	00	00	00	00	+1	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
Fructose	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	+1	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
Galactose	00	00	00	00	00	00	00	00	00	+1	00	00	00	00	00	00	00	00	00	+1	00	+1	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
Glycine	00	00	00	00	+1	00	00	00	+1	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	+1	00	00	00	00	00	00	+1	00	00	00	00	00
Hypoxanthine	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	+1	00
Keratan sulfate I	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	+1	00	00	00	00	00	00	00	00	00	+1	00	00	00	00	00	00	00	00	00	00	00	00	00
L-arginine	00	00	+1	00	00	00	00	00	00	00	00	00	00	00	00	+1	00	00	00	00	00	00	00	00	00	00	00	+1	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
L-citrulline	00	00	00	00	+1	00	00	00	-1	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	-1	+1	00	00	00	00	00	+1	00	00	00	00	00
L-cystin	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	+1	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
